	16depth	25depth
K21417	3066.0	1057.5
K03522	7298.0	2941.0
K08303	3677.0	1662.0
K02654	2719.0	1280.0
K21405	1705.0	806.0
K03702	8834.0	4321.0
K06189	2541.0	1213.0
K07064	757.0	275.0
K00134	7251.0	3282.0
K01745	5259.0	2698.0
K03186	1468.0	951.0
K03613	2084.0	504.0
K01847	3861.0	2055.0
K18244	2999.0	1136.0
K02662	2856.0	1200.0
K02967	2836.0	1532.0
K01493	1541.0	534.0
K00320	1213.0	1331.0
K03545	3380.0	1784.0
K00281	3823.0	2804.0
K07738	1935.0	882.0
K03101	1573.0	885.0
K03272	5173.0	2440.0
K01772	2719.0	1534.0
K00641	3398.0	1484.0
K15342	766.0	289.0
K01684	4191.0	1247.0
K07458	381.0	142.0
K06966	4866.0	2422.0
K10941	1478.0	599.0
K08281	869.0	464.0
K06915	2785.0	1372.0
K00052	6990.0	3187.0
K07258	1505.0	909.0
K08084	802.0	385.0
K01736	5518.0	2701.0
K00600	6927.0	3420.0
K01278	7038.0	2792.0
K06482	94.0	21.0
K03798	9299.0	4972.0
K12942	1250.0	425.0
K03637	3240.0	1265.0
K01816	1433.0	412.0
K16881	591.0	279.0
K01092	4436.0	2467.0
K08259	129.0	86.0
K18707	3306.0	1357.0
K11900	1055.0	203.0
K01785	1630.5	491.0
K02455	3612.0	1417.0
K11473	3272.0	1957.0
K09937	175.0	91.0
K02005	9702.0	3909.0
K14162	8291.0	4250.0
K03308	5442.0	3606.0
K00729	679.0	243.0
K07787	15050.0	7545.0
K03978	1347.0	689.0
K03305	2826.0	1469.0
K13643	1718.0	984.0
K01424	1536.0	1026.0
K01711	3928.0	1735.0
K11357	483.0	225.0
K03070	15651.0	6665.0
K02671	663.0	347.0
K01693	1869.0	902.0
K08483	5036.166666666662	1760.8333333333264
K03215	3745.0	1885.0
K00140	4450.0	2727.0
K04088	4179.0	1981.0
K08869	836.0	739.0
K17758	3986.0	1731.0
K00341	7960.0	4965.0
K17231	742.0	363.0
K08999	1202.0	511.0
K15019	188.0	245.0
K08177	2475.0	813.0
K07250	3069.0	1130.0
K07337	422.0	169.0
K06213	5937.0	2901.0
K02028	1369.0	956.0
K03574	3397.0	1752.0
K11754	4948.0	2288.0
K04768	1970.0	695.0
K00077	4175.0	2650.0
K09013	1803.0	1236.0
K07139	1107.0	409.0
K00705	2960.5	889.5
K18831	1010.0	308.0
K06902	2854.0	1607.0
K11175	2677.0	1301.0
K01069	5586.0	3138.0
K07483	5017.0	2919.0
K00652	3683.5	1790.5
K09919	1289.0	827.0
K02664	612.0	296.0
K02500	3770.0	1773.0
K09160	506.0	359.0
K03595	2171.0	1327.0
K03324	4049.0	975.0
K00001	8167.0	4034.0
K11259	175.0	55.0
K04090	3508.0	2773.0
K07112	2802.0	1265.0
K00121	3776.0	3272.0
K03732	1551.0	645.0
K00019	2625.0	1642.0
K01588	2304.0	1236.0
K09691	2385.0	936.0
K01796	2103.0	1379.0
K00248	8311.0	3632.0
K10831	63.0	38.0
K01322	4448.0	2031.0
K02200	1748.0	1341.5
K05275	1450.0	659.0
K02837	2414.0	1138.0
K03500	4660.0	2710.0
K00504	394.0	376.5
K18200	387.0	353.5
K07056	2625.0	1559.0
K02066	6436.0	2623.0
K13075	711.0	484.0
K10439	3236.5	741.0
K07010	1774.0	1156.0
K17734	3558.0	1096.0
K04095	374.0	141.0
K17321	713.0	470.0
K15785	426.0	394.0
K02795	70.0	67.0
K03724	4897.0	3877.0
K21572	1182.0	1419.0
K06173	3505.0	1563.0
K01951	9447.0	4477.0
K03309	2388.0	1105.0
K09710	1471.0	773.0
K01561	628.0	665.0
K01061	3298.0	3291.0
K05365	1642.0	894.0
K18399	48.0	34.0
K18369	548.0	318.0
K01843	3011.0	983.0
K01259	3100.5	2246.0
K09121	3176.0	1173.0
K02536	3976.0	1708.0
K02315	1225.0	439.0
K18222	543.0	115.0
K13017	3995.0	1284.0
K03046	18148.0	8339.0
K03106	5937.0	2878.0
K01712	4765.0	2374.0
K00873	8421.0	3323.0
K01883	6571.0	3013.0
K01284	3021.0	1096.0
K07498	7690.0	5615.0
K06196	2637.0	1485.0
K04771	13077.0	5909.0
K12524	1557.0	933.0
K02911	825.0	406.0
K03820	4609.0	2279.0
K03524	2908.0	1396.0
K07474	375.0	527.0
K06919	6309.0	4076.0
K00336	6519.0	3294.0
K01070	829.0	605.0
K04043	14244.0	5796.0
K07321	2684.0	80.0
K03495	7312.0	2920.0
K01610	2847.0	2067.0
K01928	6895.0	3402.0
K03650	5085.0	1865.0
K01989	1005.5	873.0
K02112	7732.0	3612.0
K01738	8568.0	3754.0
K09123	2203.0	729.0
K01887	7485.0	3407.0
K05515	6907.0	3306.0
K18189	804.0	382.0
K08234	760.0	614.0
K07138	1367.0	123.0
K00479	1346.0	991.0
K00013	5228.0	2407.0
K00024	4503.0	2345.0
K00104	7046.0	2827.0
K07171	1716.0	341.0
K06926	240.0	47.0
K06381	1317.0	519.0
K14138	4043.0	62.0
K02573	1726.0	476.0
K01790	2045.5	948.0
K01903	5273.0	2852.0
K03498	7079.0	3388.0
K03551	5154.0	2294.0
K09165	701.0	422.0
K08097	150.0	42.0
K03829	176.0	131.0
K00960	221.0	80.0
K02232	1672.0	1408.0
K01192	1581.0	149.0
K03810	1139.0	341.0
K02410	1623.0	706.0
K07469	238.0	178.0
K01921	5756.0	2518.5
K00018	1587.0	734.0
K07451	1041.0	604.0
K04069	9020.0	1851.0
K14743	88.0	25.0
K01436	4763.0	1983.0
K05539	975.0	660.0
K02396	2286.0	1071.0
K03801	2132.0	1142.0
K06045	3237.0	1861.0
K02569	954.0	596.0
K07301	4971.0	2820.0
K00014	3812.0	1878.0
K17996	369.0	81.0
K06861	2544.0	1095.0
K18300	1395.0	711.0
K01950	5531.0	2308.0
K13057	1143.0	735.0
K07636	7623.0	2833.0
K00853	1865.0	213.0
K01703	9463.0	4829.0
K07576	3791.0	924.0
K03722	5343.0	3067.0
K06001	2461.0	661.0
K03319	396.0	180.0
K01495	2285.5	1210.5
